District,Name,Party,#,District Wiki URL,Person Wiki URL,Vote on Laken Riley,Vote on Laken Riley Notes,Vote on Laken Riley Points,Vote on H.R.1968,Vote on 1968 Points,,,Sum
Florida 8,Mike Haridopolos,Republican,96,https://en.wikipedia.org/wiki/Florida%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Mike_Haridopolos,Yea,,-1,Yea,-1,,,-2
Florida 9,Darren Soto,Democratic,97,https://en.wikipedia.org/wiki/Florida%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Darren_Soto,Nay,,1,Nay,1,,,2
Florida 10,Maxwell Frost,Democratic,98,https://en.wikipedia.org/wiki/Florida%27s_10th_congressional_district,https://en.wikipedia.org/wiki/Maxwell_Frost,Nay,,1,Nay,1,,,2
Florida 11,Daniel Webster,Republican,99,https://en.wikipedia.org/wiki/Florida%27s_11th_congressional_district,https://en.wikipedia.org/wiki/Daniel_Webster_(Florida_politician),Yea,,-1,Yea,-1,,,-2
Florida 12,Gus Bilirakis,Republican,100,https://en.wikipedia.org/wiki/Florida%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Gus_Bilirakis,Yea,,-1,Yea,-1,,,-2
Florida 13,Anna Paulina Luna,Republican,101,https://en.wikipedia.org/wiki/Florida%27s_13th_congressional_district,https://en.wikipedia.org/wiki/Anna_Paulina_Luna,Yea,,-1,Yea,-1,,,-2
Florida 14,Kathy Castor,Democratic,102,https://en.wikipedia.org/wiki/Florida%27s_14th_congressional_district,https://en.wikipedia.org/wiki/Kathy_Castor,Nay,,1,Nay,1,,,2
Florida 15,Laurel Lee,Republican,103,https://en.wikipedia.org/wiki/Florida%27s_15th_congressional_district,https://en.wikipedia.org/wiki/Laurel_Lee,Yea,,-1,Yea,-1,,,-2
Florida 16,Vern Buchanan,Republican,104,https://en.wikipedia.org/wiki/Florida%27s_16th_congressional_district,https://en.wikipedia.org/wiki/Vern_Buchanan,Yea,,-1,Yea,-1,,,-2
Florida 17,Greg Steube,Republican,105,https://en.wikipedia.org/wiki/Florida%27s_17th_congressional_district,https://en.wikipedia.org/wiki/Greg_Steube,Yea,,-1,Yea,-1,,,-2
Florida 18,Scott Franklin,Republican,106,https://en.wikipedia.org/wiki/Florida%27s_18th_congressional_district,https://en.wikipedia.org/wiki/Scott_Franklin_(politician),Yea,,-1,Yea,-1,,,-2
Florida 19,Byron Donalds,Republican,107,https://en.wikipedia.org/wiki/Florida%27s_19th_congressional_district,https://en.wikipedia.org/wiki/Byron_Donalds,Yea,,-1,Yea,-1,,,-2
Florida 20,Sheila Cherfilus-McCormick,Democratic,108,https://en.wikipedia.org/wiki/Florida%27s_20th_congressional_district,https://en.wikipedia.org/wiki/Sheila_Cherfilus-McCormick,Nay,,1,Nay,1,,,2
Florida 21,Brian Mast,Republican,109,https://en.wikipedia.org/wiki/Florida%27s_21st_congressional_district,https://en.wikipedia.org/wiki/Brian_Mast,Yea,,-1,Yea,-1,,,-2
Florida 22,Lois Frankel,Democratic,110,https://en.wikipedia.org/wiki/Florida%27s_22nd_congressional_district,https://en.wikipedia.org/wiki/Lois_Frankel,Nay,,1,Nay,1,,,2
Florida 23,Jared Moskowitz,Democratic,111,https://en.wikipedia.org/wiki/Florida%27s_23rd_congressional_district,https://en.wikipedia.org/wiki/Jared_Moskowitz,Yea,,-1,Nay,1,,,0
Florida 24,Frederica Wilson,Democratic,112,https://en.wikipedia.org/wiki/Florida%27s_24th_congressional_district,https://en.wikipedia.org/wiki/Frederica_Wilson,Nay,,1,Nay,1,,,2
Florida 25,Debbie Wasserman Schultz,Democratic,113,https://en.wikipedia.org/wiki/Florida%27s_25th_congressional_district,https://en.wikipedia.org/wiki/Debbie_Wasserman_Schultz,Nay,,1,Nay,1,,,2
Florida 26,Mario Díaz-Balart,Republican,114,https://en.wikipedia.org/wiki/Florida%27s_26th_congressional_district,https://en.wikipedia.org/wiki/Mario_D%C3%ADaz-Balart,Yea,,-1,Yea,-1,,,-2
Florida 27,María Elvira Salazar,Republican,115,https://en.wikipedia.org/wiki/Florida%27s_27th_congressional_district,https://en.wikipedia.org/wiki/Mar%C3%ADa_Elvira_Salazar,Yea,,-1,Yea,-1,,,-2
Florida 28,Carlos Giménez,Republican,116,https://en.wikipedia.org/wiki/Florida%27s_28th_congressional_district,https://en.wikipedia.org/wiki/Carlos_A._Gim%C3%A9nez,Yea,,-1,Yea,-1,,,-2
Georgia 1,Buddy Carter,Republican,117,https://en.wikipedia.org/wiki/Georgia%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Buddy_Carter,Yea,,-1,Yea,-1,,,-2
Georgia 2,Sanford Bishop,Democratic,118,https://en.wikipedia.org/wiki/Georgia%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Sanford_Bishop,Yea,,-1,Nay,1,,,0
Georgia 3,Brian Jack,Republican,119,https://en.wikipedia.org/wiki/Georgia%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Brian_Jack,Yea,,-1,Yea,-1,,,-2
Georgia 4,Hank Johnson,Democratic,120,https://en.wikipedia.org/wiki/Georgia%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Hank_Johnson,Nay,,1,Nay,1,,,2
Georgia 5,Nikema Williams,Democratic,121,https://en.wikipedia.org/wiki/Georgia%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Nikema_Williams,Nay,,1,Nay,1,,,2
Georgia 6,Lucy McBath,Democratic,122,https://en.wikipedia.org/wiki/Georgia%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Lucy_McBath,Yea,,-1,Nay,1,,,0
Georgia 7,Rich McCormick,Republican,123,https://en.wikipedia.org/wiki/Georgia%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Rich_McCormick,Yea,,-1,Yea,-1,,,-2
Georgia 8,Austin Scott,Republican,124,https://en.wikipedia.org/wiki/Georgia%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Austin_Scott_(politician),Yea,,-1,Yea,-1,,,-2
Georgia 9,Andrew Clyde,Republican,125,https://en.wikipedia.org/wiki/Georgia%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Andrew_Clyde,Yea,,-1,Yea,-1,,,-2
Georgia 10,Mike Collins,Republican,126,https://en.wikipedia.org/wiki/Georgia%27s_10th_congressional_district,https://en.wikipedia.org/wiki/Mike_Collins_(politician),Yea,,-1,Yea,-1,,,-2
Georgia 11,Barry Loudermilk,Republican,127,https://en.wikipedia.org/wiki/Georgia%27s_11th_congressional_district,https://en.wikipedia.org/wiki/Barry_Loudermilk,Yea,,-1,Yea,-1,,,-2
Georgia 12,Rick Allen,Republican,128,https://en.wikipedia.org/wiki/Georgia%27s_12th_congressional_district,https://en.wikipedia.org/wiki/Rick_Allen_(politician),Yea,,-1,Yea,-1,,,-2
Georgia 13,David Scott,Democratic,129,https://en.wikipedia.org/wiki/Georgia%27s_13th_congressional_district,https://en.wikipedia.org/wiki/David_Scott_(Georgia_politician),Nay,,1,Nay,1,,,2
Georgia 14,Marjorie Taylor Greene,Republican,130,https://en.wikipedia.org/wiki/Georgia%27s_14th_congressional_district,https://en.wikipedia.org/wiki/Marjorie_Taylor_Greene,Yea,,-1,Yea,-1,,,-2
Hawaii 1,Ed Case,Democratic,131,https://en.wikipedia.org/wiki/Hawaii%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Ed_Case,Nay,,1,Nay,1,,,2
Hawaii 2,Jill Tokuda,Democratic,132,https://en.wikipedia.org/wiki/Hawaii%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Jill_Tokuda,Nay,,1,Nay,1,,,2
Idaho 1,Russ Fulcher,Republican,133,https://en.wikipedia.org/wiki/Idaho%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Russ_Fulcher,Yea,,-1,Yea,-1,,,-2
